ZIP (character),ZIP (numeric),state
00002,2,AK
00006,6,AK
00007,7,AK
00010,10,AK
00011,11,AK
00012,12,CA
00014,14,AZ
00015,15,AZ
00016,16,CA
00017,17,CA
00018,18,CA
00019,19,CA
00020,20,CA
00022,22,CA
00026,26,CA
00027,27,CO
00028,28,CA
00029,29,CA
00031,31,CA
00032,32,CA
00033,33,CA
00034,34,CA
00035,35,CA
00037,37,CA
00038,38,CA
00039,39,CA
00040,40,CA
00041,41,FL
00042,42,FL
00043,43,FL
00044,44,CA
00045,45,FL
00047,47,CA
00048,48,CA
00049,49,CA
00050,50,CA
00051,51,CA
00052,52,CA
00053,53,FL
00054,54,CA
00055,55,CA
00056,56,ID
00058,58,CA
00059,59,MN
00060,60,MN
00063,63,MT
00064,64,NM
00065,65,CA
00066,66,NM
00067,67,OK
00068,68,OR
00069,69,OR
00070,70,OR
00071,71,UT
00072,72,WA
00073,73,WA
00074,74,WA
00076,76,WA
00077,77,OR
00084,84,NC
00087,87,FL
00097,97,FL
00098,98,FL
00100,100,UT
00116,116,LA
00119,119,LA
00120,120,LA
00121,121,LA
00127,127,ME
00130,130,ME
00134,134,ME
00135,135,ME
00137,137,ME
00138,138,ME
00139,139,ME
00141,141,ME
00151,151,ME
00152,152,MD
00158,158,MA
00160,160,MN
00161,161,MN
00164,164,MN
00165,165,MN
00166,166,MN
00168,168,NH
00172,172,NH
00173,173,NH
00174,174,NH
00176,176,NH
00177,177,NH
00179,179,NH
00180,180,NH
00181,181,NH
00182,182,NH
00183,183,NH
00184,184,NH
00185,185,NH
00188,188,TX
00195,195,WA
00197,197,AZ
00198,198,AK
00199,199,AZ
00501,501,NY
00544,544,NY
01001,1001,MA
01002,1002,MA
01003,1003,MA
01004,1004,MA
01005,1005,MA
01007,1007,MA
01008,1008,MA
01009,1009,MA
01010,1010,MA
01011,1011,MA
01012,1012,MA
01013,1013,MA
01014,1014,MA
01020,1020,MA
01021,1021,MA
01022,1022,MA
01026,1026,MA
01027,1027,MA
01028,1028,MA
01029,1029,MA
01030,1030,MA
01031,1031,MA
01032,1032,MA
01033,1033,MA
01034,1034,MA
01035,1035,MA
01036,1036,MA
01037,1037,MA
01038,1038,MA
01039,1039,MA
01040,1040,MA
01041,1041,MA
01050,1050,MA
01053,1053,MA
01054,1054,MA
01056,1056,MA
01057,1057,MA
01059,1059,MA
01060,1060,MA
01061,1061,MA
01062,1062,MA
01063,1063,MA
01066,1066,MA
01068,1068,MA
01069,1069,MA
01070,1070,MA
01071,1071,MA
01072,1072,MA
01073,1073,MA
01074,1074,MA
01075,1075,MA
01077,1077,MA
01079,1079,MA
01080,1080,MA
01081,1081,MA
01082,1082,MA
01083,1083,MA
01084,1084,MA
01085,1085,MA
01086,1086,MA
01088,1088,MA
01089,1089,MA
01090,1090,MA
01092,1092,MA
01093,1093,MA
01094,1094,MA
01095,1095,MA
01096,1096,MA
01097,1097,MA
01098,1098,MA
01101,1101,MA
01102,1102,MA
01103,1103,MA
01104,1104,MA
01105,1105,MA
01106,1106,MA
01107,1107,MA
01108,1108,MA
01109,1109,MA
01111,1111,MA
01115,1115,MA
01116,1116,MA
01118,1118,MA
01119,1119,MA
01128,1128,MA
01129,1129,MA
01138,1138,MA
01139,1139,MA
01144,1144,MA
01151,1151,MA
01152,1152,MA
01199,1199,MA
01201,1201,MA
01202,1202,MA
01203,1203,MA
01220,1220,MA
01222,1222,MA
01223,1223,MA
01224,1224,MA
01225,1225,MA
01226,1226,MA
01227,1227,MA
01229,1229,MA
01230,1230,MA
01235,1235,MA
01236,1236,MA
01237,1237,MA
01238,1238,MA
01240,1240,MA
01242,1242,MA
01243,1243,MA
01244,1244,MA
01245,1245,MA
01247,1247,MA
01252,1252,MA
01253,1253,MA
01254,1254,MA
01255,1255,MA
01256,1256,MA
01257,1257,MA
01258,1258,MA
01259,1259,MA
01260,1260,MA
01262,1262,MA
01263,1263,MA
01264,1264,MA
01266,1266,MA
01267,1267,MA
01270,1270,MA
01301,1301,MA
01302,1302,MA
01330,1330,MA
01331,1331,MA
01337,1337,MA
01338,1338,MA
01339,1339,MA
01340,1340,MA
01341,1341,MA
01342,1342,MA
01343,1343,MA
01344,1344,MA
01346,1346,MA
01347,1347,MA
01349,1349,MA
01350,1350,MA
01351,1351,MA
01354,1354,MA
01355,1355,MA
01360,1360,MA
01364,1364,MA
01366,1366,MA
01367,1367,MA
01368,1368,MA
01370,1370,MA
01373,1373,MA
01375,1375,MA
01376,1376,MA
01378,1378,MA
01379,1379,MA
01380,1380,MA
01420,1420,MA
01430,1430,MA
01431,1431,MA
01432,1432,MA
01434,1434,MA
01436,1436,MA
01438,1438,MA
01440,1440,MA
01441,1441,MA
01450,1450,MA
01451,1451,MA
01452,1452,MA
01453,1453,MA
01460,1460,MA
01462,1462,MA
01463,1463,MA
01464,1464,MA
01467,1467,MA
01468,1468,MA
01469,1469,MA
01470,1470,MA
01471,1471,MA
01472,1472,MA
01473,1473,MA
01474,1474,MA
01475,1475,MA
01477,1477,MA
01501,1501,MA
01503,1503,MA
01504,1504,MA
01505,1505,MA
01506,1506,MA
01507,1507,MA
01508,1508,MA
01509,1509,MA
01510,1510,MA
01515,1515,MA
01516,1516,MA
01517,1517,MA
01518,1518,MA
01519,1519,MA
01520,1520,MA
01521,1521,MA
